symbol,entrez,uniprot_accession
CTAG2,30848,O75638
CDR2L,30850,Q86X02
TAX1BP3,30851,O14907
G0S2,50486,P27469
PODXL2,50512,Q9NZ53
CHST11,50515,Q9NPF2
IL21R,50615,Q9HBE5
DEF6,50619,Q9H4E7
ARHGEF4,50649,Q9NR80
ARHGEF3,50650,Q9NR81
MYEF2,50804,Q9P2K5
HDGFL3,50810,Q9Y3E1
F11R,50848,Q9Y624
VILL,50853,O15195
PARD6A,50855,Q9NPB6
STMN3,50861,Q9NZ72
NTM,50863,Q9P121
HEBP1,50865,Q9NRV9
CDON,50937,Q4KMG0
SHANK1,50944,Q9Y566
PI15,51050,O43692
ATL1,51062,Q8WXF7
CALHM2,51063,Q9HA72
GAL,51083,P22466
CRYL1,51084,Q9Y2S2
MLXIPL,51085,Q9NP71
YBX2,51087,Q9Y2T7
KLHL5,51088,Q96PQ7
SCCPDH,51097,Q8NBX0
ZC2HC1A,51101,Q96GY0
LACTB2,51110,Q53H82
ANGPTL4,51129,Q9BY76
PHF11,51131,Q9UIL8
CERCAM,51148,Q5T4B2
SLC45A2,51151,Q9UMX9
C3orf18,51161,Q9UK00
EGFL7,51162,Q9UHF1
AADAT,51166,Q8N5Z0
HSD17B11,51170,Q8NBQ5
HSD17B14,51171,Q9BPX1
LEF1,51176,Q9UJU2
PLEKHO1,51177,Q53GL0
TCEAL9,51186,Q9UHQ7
HERC5,51191,Q9UII4
RAPGEFL1,51195,Q9UHV5
CPA4,51200,Q9UI42
ZDHHC2,51201,Q9UIJ5
ACP6,51205,Q9NPH0
ZNF219,51222,Q9P2Y4
ABI3,51225,Q9P2A4
COPZ2,51226,Q9P299
CRIM1,51232,Q9NZV1
MZB1,51237,Q8WU39
FAM178B,51252,Q8IXR5
TMEM216,51259,Q9P0N5
KLF3,51274,P57682
C1RL,51279,Q9NZP8
GOLM1,51280,Q8NBJ4
CEND1,51286,Q8N111
CD320,51293,Q9NPF0
SLC15A3,51296,Q8IY34
NRN1,51299,Q9NPD7
FKBP11,51303,Q9NYL4
REEP2,51308,Q9BRK0
ARMCX1,51309,Q9P291
SLC22A17,51310,Q8WUG5
GASK1B,51313,Q6UWH4
PLAC8,51316,Q9NZF1
TNFRSF12A,51330,Q9NP84
PRR16,51334,Q569H4
DACT1,51339,Q9NYF0
ZNF117,51351,Q03924
HOOK1,51361,Q9UJC3
CHST15,51363,Q7LFX5
PLA1A,51365,Q53H76
SNX7,51375,Q9UNH6
AIG1,51390,Q9NVV5
TRPV2,51393,Q9Y5S1
BIN2,51411,Q9UBW5
ACTL6B,51412,O94805
AMOTL2,51421,Q9Y2J4
PRKAG2,51422,Q9UGJ0
SNX9,51429,Q9Y5X1
SCARA3,51435,Q6AZY7
MAGEC2,51438,Q9UBF1
VGLL1,51442,Q99990
PRRX2,51450,Q99811
GULP1,51454,Q9UBP9
EVL,51466,Q9UI08
DCDC2,51473,Q9UHG0
LIMA1,51474,Q9UHB6
ISYNA1,51477,Q9NPH2
VCX3A,51481,Q9NNX9
CXXC5,51523,Q7LFL8
PEX5L,51555,Q8IYB4
RAB6B,51560,Q9NRW1
IL23A,51561,Q9NPF7
ARMCX3,51566,Q9UH62
LSR,51599,Q86X29
NSG2,51617,Q9Y328
KLF13,51621,Q9Y2Y9
RASD1,51655,Q9Y272
FKBP7,51661,Q9Y680
TPPP3,51673,Q9BW30
ASB2,51676,Q96Q27
CYB5R2,51700,Q6BCY4
PADI3,51702,Q9ULW8
ACSL5,51703,Q9ULC5
GPRC5B,51704,Q9NZH0
SYT17,51760,Q9BSW7
STK26,51765,Q9P289
MAP3K20,51776,Q9NYL2
SIX4,51804,Q9UIU6
CALML5,51806,Q9NZT1
GALNT7,51809,Q86SF2
ADA2,51816,Q9NZK5
BCL11A,53335,Q9H165
TM6SF1,53346,Q9BZW5
CLIC5,53405,Q9NZA1
ADAM22,53616,Q9P0K1
S1PR5,53637,Q9H228
FXYD6,53826,Q9H0Q3
FXYD5,53827,Q96DB9
IL20RA,53832,Q9UHF4
IL20RB,53833,Q6UXL0
FGFRL1,53834,Q8N441
GPR87,53836,Q9BY21
TRIM34,53840,Q9BYJ4
A4GALT,53947,Q9NPC4
SLC37A1,54020,P57057
RBM11,54033,P57052
PCBP3,54039,P57721
FAM3B,54097,P58499
GSAP,54103,A4D1B5
ERRFI1,54206,Q9UJM3
GPR173,54328,Q9NS66
GPR85,54329,P60893
GNG2,54331,P59768
GDAP1,54332,Q8TB36
CYTL1,54360,Q9NRR1
SIAE,54414,Q9HAT2
SH3TC1,54436,Q8TE82
GFOD1,54438,Q9NXC2
SASH3,54440,O75995
ANLN,54443,Q9NQW6
RIN2,54453,Q8WYP3
RETREG1,54463,Q9H6L5
ARMCX6,54470,Q7L4S7
KRT20,54474,P35900
PLEKHA5,54477,Q9HAU0
PIMREG,54478,Q9BSJ6
OTULINL,54491,Q9NUU6
NEURL1B,54492,A8MQ27
SMOX,54498,Q9NWM0
RBM47,54502,A0AV96
CPVL,54504,Q9H3G5
ADAMTSL4,54507,Q6UY14
RHOF,54509,Q9HBH0
PCDH18,54510,Q9HCL0
APBB1IP,54518,Q7Z5R6
USP53,54532,Q70EK8
DDIT4,54541,Q9NX09
EPB41L4B,54566,Q9H329
MXRA8,54587,Q9BRK3
NDFIP2,54602,Q9NV92
PARP14,54625,Q460N5
HES2,54626,Q9Y543
LRRN3,54674,Q9H3W5
P4HTM,54681,Q9NXG6
MANSC1,54682,Q9H8J5
PDP1,54704,Q9P0J1
SLC6A20,54716,Q9NP91
SLC35F2,54733,Q8IXU6
RAB39A,54734,Q14964
XAF1,54739,Q6GPH4
LY6K,54742,Q17RY6
EPDR1,54749,Q9UM22
FBLIM1,54751,Q8WUP2
ZNF853,54753,P0CG23
TRPM4,54795,Q8TD43
BNC2,54796,Q6ZN30
SAMD9,54809,Q5K651
NUP62CL,54830,Q9H1M0
BSPRY,54836,Q5W0U4
LRRC49,54839,Q8IUZ0
BIVM,54841,Q86UB2
MFSD6,54842,Q6ZSS7
SYTL2,54843,Q9HCH5
ESRP1,54845,Q6NXG1
SIDT1,54847,Q9NXL6
PAQR5,54852,Q9NXK6
FAM83E,54854,Q2M2I3
TENT5C,54855,Q5VWP2
TOR4A,54863,Q9NXH8
EPS8L1,54869,Q8TE68
PALMD,54873,Q9NP74
FNBP1L,54874,Q5T0N5
CNTLN,54875,Q9NXG0
RNF43,54894,Q68DV7
CASZ1,54897,Q86V15
ELOVL2,54898,Q9NXB9
PXK,54899,Q7Z7A4
SEMA4C,54910,Q9C0C4
RPP25,54913,Q9BUL9
RHBDL2,54933,Q9NX52
DUSP23,54935,Q9BVJ7
RNF125,54941,Q96EQ8
LPCAT2,54947,Q7L5N7
SSH3,54961,Q8TE77
TTC12,54970,Q9H892
TMEM132A,54972,Q24JP5
PLAAT2,54979,Q9NWW9
MTARC2,54996,Q969Z3
TESC,54997,Q96BS2
TTC22,55001,Q5TAA0
HERC6,55008,Q8IVU3
MCUB,55013,Q9NWR8
PID1,55022,Q7Z2X4
BANK1,55024,Q8NDB2
TMEM255A,55026,Q5JRV8
MOCOS,55034,Q96EN8
EPN3,55040,Q9H201
CRYBG2,55057,Q8N1P7
SUSD4,55061,Q5VX71
WIPI1,55062,Q5MNZ9
UACA,55075,Q9BZF9
TMEM45A,55076,Q9NWC5
RADX,55086,Q6NSI4
TMEM51,55092,Q9NW97
RALGPS2,55103,Q86X27
SLFN12,55106,Q8IYM2
ANO1,55107,Q5XXA6
SLC6A15,55117,Q9H2J7
FIGN,55137,Q5HY92
ARHGEF10L,55160,Q9HCE6
NUDT11,55190,Q96G61
EVA1B,55194,Q9NVM1
CCDC198,55195,Q9NVL8
PLEKHG6,55200,Q3KR16
ZNF532,55205,Q9HCE3
P3H2,55214,Q8IVL5
ETNK2,55224,Q9NVF9
PNMA8A,55228,Q86V59
STEAP3,55240,Q658P3
KIRREL1,55243,Q96J84
SLC47A1,55244,Q96FL8
THNSL2,55258,Q86YJ6
ECHDC2,55268,Q86YB7
TMEM100,55273,Q9NV29
MCOLN3,55283,Q8TDD5
C4orf19,55286,Q8IY42
TMEM40,55287,Q8WWA1
SPTLC3,55304,Q9NUV7
CPPED1,55313,Q9BRF8
TMEM144,55314,Q7Z5S9
LARP6,55323,Q9BRS8
RNLS,55328,Q5VYX0
DRAM1,55332,Q8N682
SHFL,55337,Q9NUL5
PLCXD1,55344,Q9NUJ7
CHDH,55349,Q8NE62
STK32B,55351,Q9NY57
LAPTM4B,55353,Q86VI4
SLC22A15,55356,Q8IZD6
TBC1D2,55357,Q9BYX2
STYK1,55359,Q6J9G0
IMPACT,55364,Q9P2X3
TMEM176A,55365,Q96HP8
LGR4,55366,Q9BXB1
ZNF331,55422,Q9NQX6
CAMK2N1,55450,Q7Z7J9
DNAJA4,55466,Q8WW22
HES6,55502,Q96HZ4
TRPV6,55503,Q9H1D0
TNFRSF19,55504,Q9NS68
MACROH2A2,55506,Q9P0M6
GPRC5D,55507,Q9NZD1
BATF3,55509,Q9NR55
DDX43,55510,Q9NXZ2
SMPD3,55512,Q9NY59
TRIM36,55521,Q9NQ86
PIP4P2,55529,Q8N4L2
CDCA7L,55536,Q96GN5
IL17RB,55540,Q9NRM6
RBM38,55544,Q9H0Z9
ENOSF1,55556,Q7L5Y1
PLXNA3,55558,P51805
CDC42BPG,55561,Q6DT37
GALNT10,55568,Q86SR1
DDX60,55601,Q8IY21
TENT5A,55603,Q96IP4
CARMIL1,55604,Q5VZK9
KIF21A,55605,Q7Z4S6
PPP1R9A,55607,Q9ULJ8
FERMT1,55612,Q9BQL6
PRR5,55615,P85299
ASAP3,55616,Q8TDY4
DOCK10,55619,Q96BY6
STAP2,55620,Q9UGK3
SLC39A4,55630,Q6P5W5
CHD7,55636,Q9P2D1
SYBU,55638,Q9NX95
RAB20,55647,Q9NX57
BCAS4,55653,Q8TDM0
NLRP2,55655,Q9NX02
LIMS2,55679,Q7Z4I7
FRMD4A,55691,Q9P2Q2
RADIL,55698,Q96JH8
ARHGEF40,55701,Q8TER5
CCDC88A,55704,Q3V6T2
FAR2,55711,Q96K12
ZNF334,55713,Q9HCZ1
TENM3,55714,Q9P273
DOK4,55715,Q8TEW6
HHAT,55733,Q5VTY9
ENAH,55740,Q8N8S7
PARVA,55742,Q9NVD7
CHFR,55743,Q96EP1
SEPTIN11,55752,Q9NVA2
OGDHL,55753,Q9ULD0
UGGT2,55757,Q9NYU1
DHX32,55760,Q7L7V1
INAVA,55765,Q3KP66
H2AJ,55766,Q9BTM1
ZNF83,55769,P51522
MCTP2,55784,Q6DN12
FGD6,55785,Q6ZV73
ZNF415,55786,Q09FC8
CSGALNACT1,55790,Q8TDX6
MBNL3,55796,Q9NUK0
CACNA2D3,55799,Q8IZS8
HR,55806,O43593
ST6GALNAC1,55808,Q9NSC7
TRERF1,55809,Q96PN7
RNF130,55819,Q86XS8
PAG1,55824,Q9NWQ8
PECR,55825,Q9BY49
EAF2,55840,Q96CJ1
WWC3,55841,Q9ULE0
ARHGAP15,55843,Q53QZ3
BEX1,55859,Q9HBH7
DBNDD2,55861,Q9BQY9
GSDMB,55876,Q8TAX9
LMO3,55885,Q8TAP4
GPRC5C,55890,Q9NQ84
ZNF302,55900,Q9NR11
ACSS2,55902,Q9NR19
ZC4H2,55906,Q9NQZ6
INKA2,55924,Q9NTI7
MYO5C,55930,Q9NQX4
KLHL9,55958,Q9P2J3
SULF2,55959,Q8IWU5
SEPTIN3,55964,Q9UH03
GNG12,55970,Q9UBI6
BAIAP2L1,55971,Q9UHR4
NXF3,56000,Q9H4D5
BARX1,56033,Q9HBU1
PDGFC,56034,Q9NRA1
KLHL4,56062,Q9C0H6
ANKH,56172,Q9HCJ1
SUSD2,56241,Q9UGT4
ZNF253,56242,O75346
KIAA1217,56243,Q5T5P2
TMX4,56255,Q9H1E5
SERTAD4,56256,Q9NUC0
CPXM1,56265,Q96SM3
BEX4,56271,Q9NWD9
PARD3,56288,Q8TEW0
RPRM,56475,Q9NS64
CCL28,56477,Q9NRJ3
KCNQ5,56479,Q9NR82
DNAJC12,56521,Q9UKB3
CYP26B1,56603,Q9NR63
ERO1B,56605,Q86YB8
SLC2A9,56606,Q9NRM0
EIF5A2,56648,Q9GZV4
TMPRSS4,56649,Q9NRS4
NPDC1,56654,Q9NQX5
PANX2,56666,Q96RD6
MUC13,56667,Q9H3R2
SUCNR1,56670,Q9BXA5
NRIP3,56675,Q9NQ35
JPH1,56704,Q9HDC5
FMN2,56776,Q9NZ56
TCEAL7,56849,Q9BRU2
CELF4,56853,Q9BZC1
FSTL5,56884,Q8N475
TCIM,56892,Q9NR00
AGPAT4,56895,Q9NRZ5
DPYSL5,56896,Q9BPU6
NDUFA4L2,56901,Q9NRX3
SPIRE1,56907,Q08AE8
MAP3K7CL,56911,P57077
MEIS3,56917,Q99687
PAK6,56924,Q9NQU5
LXN,56925,Q9BS40
SMCO4,56935,Q9NRQ5
PMEPA1,56937,Q969W9
BMAL2,56938,Q8WYA1
OLFML3,56944,Q9NRN5
PRTFDC1,56952,Q9NRG1
SHD,56961,Q96IW2
PARP6,56965,Q2NL67
C14orf132,56967,Q9NPU4
CEACAM19,56971,Q7Z692
FAM20C,56975,Q8IXL6
PRDM8,56978,Q9NQV8
CHPT1,56994,Q8WUD6
COQ8A,56997,Q8NI60
ADAMTS9,56999,Q9P2N4
SDHAF3,57001,Q9NRP4
ACKR3,57007,P25106
AKR1B10,57016,O60218
TWSG1,57045,Q9GZX9
PCBP4,57060,P57723
PLSCR4,57088,Q9NRQ2
PLAAT1,57110,Q9HDD0
RAB25,57111,P57735
ZNF695,57116,Q8IW36
CAMK1D,57118,Q8IU85
LPAR5,57121,Q9H1C0
CD248,57124,Q9HCU0
MAN1C1,57134,Q9NR34
RGL3,57139,Q3MIN7
LDAF1,57146,Q96B96
SLC44A2,57153,Q8IWA5
TMEM63C,57156,Q9P1W3
JPH2,57158,Q9BR39
PELI2,57161,Q9HAT8
PELI1,57162,Q96FA3
SALL4,57167,Q9UJQ4
CORO1B,57175,Q9BR76
ZMIZ1,57178,Q9ULJ6
SELENON,57190,Q9NZV5
ATP10A,57194,O60312
ATP8B2,57198,P98198
ATP10D,57205,Q9P241
ADGRG6,57211,Q86SQ4
CEMIP,57214,Q8WUJ3
VANGL2,57216,Q9ULK5
ARFGEF3,57221,Q5TH69
NHSL1,57224,Q5SYE7
SMAGP,57228,Q0VAQ4
RCN3,57333,Q96D15
ZNF287,57336,Q9HBT7
RHOJ,57381,Q9H4E5
S100A14,57402,Q9HCY8
NMRAL1,57407,Q9HBL8
AS3MT,57412,Q9HBK9
CEP15,57415,Q9HBI5
NDRG2,57447,Q9UN36
PLEKHG5,57449,O94827
TENM2,57451,Q9NT68
GALNT16,57452,Q8N428
TMCC3,57458,Q9ULS5
PPM1H,57460,Q9ULR3
MYORG,57462,Q6NSJ0
SLC12A5,57468,Q9H2X9
ZNF512B,57473,Q96KM6
PLEKHH1,57475,Q9ULM0
GRAMD1B,57476,Q3KR37
PLEKHG1,57480,Q9ULL1
CRACD,57482,Q6ZU35
RNF150,57484,Q9ULK6
AHRR,57491,A9YTQ3
HEG1,57493,Q9ULI3
RIMKLB,57494,Q9ULI2
NLGN4X,57502,Q8N0W4
ZNF608,57507,Q9ULD9
MTUS1,57509,Q9ULD2
GPR158,57512,Q5T848
ARHGAP31,57514,Q2M1Z3
HECW2,57520,Q9P2P5
SRGAP1,57522,Q7Z6B7
NYNRIN,57523,Q9P2P1
CGN,57530,Q9P2M7
ELAPOR1,57535,Q6UXG2
SORCS2,57537,Q96PQ0
CC2D2A,57545,Q9P2K1
IGSF9,57549,Q9P2J2
NCEH1,57552,Q6PIU2
NLGN2,57555,Q8NFZ4
SEMA6A,57556,Q9H2E6
STAMBPL1,57559,Q96FJ0
ARRDC3,57561,Q96B67
KLHL14,57565,Q9P2G3
SIPA1L2,57568,Q9P2F8
DOCK6,57572,Q96HP0
MARCHF4,57574,Q9P2E8
PCDH10,57575,Q9P2E7
PREX1,57580,Q8TCU6
SYT13,57586,Q7L8C5
EBF4,57593,Q9BQW3
PDZD4,57595,Q76G19
BEGAIN,57596,Q9BUH8
BAHCC1,57597,Q9P281
TRMT9B,57604,Q9P272
JCAD,57608,Q9P266
TSHZ3,57616,Q63HK5
SHROOM3,57619,Q8TF72
LRRN1,57633,Q6UXK5
ARHGAP23,57636,Q9P227
NHSL3,57648,Q9P206
CAMSAP3,57662,Q9P1Y5
PLEKHA4,57664,Q9H4M7
ZDBF2,57683,Q9HCK1
CACHD1,57685,Q5VU97
VAT1L,57687,Q9HCJ6
SHTN1,57698,A0MZ66
WDFY4,57705,Q6ZS81
MEAK7,57707,Q6P9B6
SFMBT2,57713,Q5VUG0
SEMA4G,57715,Q9NTN9
SPTBN4,57731,Q9H254
ZFYVE28,57732,Q9HCC9
TRIB3,57761,Q96RU7
HES4,57801,Q9HCC6
POLD4,57804,Q9HCU8
GRHL3,57822,Q8TE85
SLAMF7,57823,Q9NQ25
CYP4F11,57834,Q9HBI6
CADM3,57863,Q8N126
CXCL16,58191,Q9H2A7
SQOR,58472,Q9Y6N5
PLEKHB1,58473,Q9UF11
TP53INP2,58476,Q8IXH6
RHOU,58480,Q7L0Q8
ABHD17C,58489,Q6PCB6
JAM2,58494,P57087
OVOL2,58495,Q9BRP0
ZNF462,58499,Q96JM2
ARHGAP22,58504,Q7Z5H3
MID1IP1,58526,Q9NPA3
ABRACL,58527,Q9P1F3
RRAGD,58528,Q9NQL2
ENPP5,59084,Q9UJA9
HIVEP3,59269,Q5T1R4
EVA1C,59271,P58658
NTN4,59277,Q9HB63
CACNG7,59284,P62955
SIGIRR,59307,Q6IA17
PLEKHA1,59338,Q9HB21
PLEKHA2,59339,Q9HB19
TRPV4,59341,Q9HBA0
SCPEP1,59342,Q9HB40
GNB4,59345,Q9HAV0
LGR6,59352,Q9HBX8
AFAP1,60312,Q8N556
AVPI1,60370,Q5T686
EDA2R,60401,Q9HAV5
BACH2,60468,Q9BYV9
ELOVL5,60481,Q9NYP7
APOBEC3G,60489,Q9HC16
FKBP10,60681,Q96AY3
SLC22A23,63027,A1A5C7
ABHD4,63874,Q8TB40
PIEZO2,63895,Q9H5I5
SH2D4A,63898,Q9H788
FAM111A,63901,Q96PZ2
SLC17A9,63910,Q9BYT1
GALNT11,63917,Q8NCW6
ZNF667,63934,Q5HYK9
GPSM3,63940,Q9Y4H4
KIF13A,63971,Q9H1H9
MYO1G,64005,B0I1T2
PRSS22,64063,Q9GZN4
PERP,64065,Q96FX8
C19orf33,64073,Q9GZP8
CLSTN2,64084,Q9H4D0
SAMSN1,64092,Q9NSI8
SMOC1,64093,Q9H4F8
SMOC2,64094,Q9H3U7
EPB41L4A,64097,Q9HCS5
PARVG,64098,Q9HBI0
RTP4,64108,Q96DX8
TMBIM1,64114,Q969X1
VSIR,64115,Q9H7M9
SLC39A8,64116,Q9C0K1
FN3K,64122,Q9H479
TINAGL1,64129,Q9GZM7
XYLT1,64131,Q86Y38
IFIH1,64135,Q9BYX4
ERAP2,64167,Q6P179
P3H1,64175,Q32P28
POPDC3,64208,Q9HBV1
SEMA4A,64218,Q9H3S1
STRA6,64220,Q9BX79
ROBO3,64221,Q96MS0
MS4A6A,64231,Q9H2W1
PDLIM2,64236,Q96JY6
ARHGEF28,64283,Q8N1W1
RAB17,64284,Q9H0T7
RHBDF1,64285,Q96CC6
ZSCAN31,64288,Q96LW9
SOX17,64321,Q9H6I2
NFKBIZ,64332,Q9BYH8
ARHGAP9,64333,Q9BRR9
NXN,64359,Q6DKJ4
HHIP,64399,Q96QV1
CDH24,64403,Q86UP0
RGS18,64407,Q9NS28
ARAP3,64411,Q8WWN8
SUSD1,64420,Q6UWL2
CPEB1,64506,Q9BZB8
CLEC7A,64581,Q9BXN2
TMPRSS3,64699,P57727
PLPPR2,64748,Q96GM1
SMURF2,64750,Q9HAU4
CCDC136,64753,Q96JN2
SMYD3,64754,Q9H7B4
MTARC1,64757,Q5VT66
TNS3,64759,Q68CZ2
PARP12,64761,Q9H0J9
CREB3L2,64764,Q70SY1
FNDC3B,64778,Q53EP0
MICAL1,64780,Q8TDZ2
EPS8L2,64787,Q9H6S3
LMF1,64788,Q96S06
DEPTOR,64798,Q8TB45
FNDC4,64838,Q9H6D8
PORCN,64840,Q9H237
SPATA20,64847,Q8TB22
SLC13A3,64849,Q8WWT9
NIBAN2,64855,Q96TA1
VWA1,64856,Q6PCB0
PLEKHG2,64857,Q9H7P9
NABP1,64859,Q96AH0
CDCP1,64866,Q9H5V8
LPIN3,64900,Q9BQK8
RANBP17,64901,Q9H2T7
RASAL3,64926,Q86YV0
NDRG4,65009,Q9ULP0
PINK1,65018,Q9BXM7
REEP1,65055,Q9H902
RAPH1,65059,Q70E73
CDK15,65061,Q96Q40
RTN4R,65078,Q9BZR6
MARCKSL1,65108,P49006
SOWAHC,65124,Q53LP3
ZNF649,65251,Q9BS31
WNK4,65266,Q96J92
WNK2,65268,Q9Y3S1
STK33,65975,Q9BYT3
CAPRIN2,65981,Q6IMN6
ZSCAN18,65982,Q8TBC5
GRAMD2B,65983,Q96HH9
KCTD14,65987,Q9BQ13
DLK2,65989,Q6UY11
LRRC61,65999,Q9BV99
TMEM108,66000,Q6UXF1
CYP4F12,66002,Q9HCS2
LYNX1,66004,P0DP58
DUSP26,78986,Q9BV47
GDAP1L1,78997,Q96MZ0
LRFN4,78999,Q6PJG9
METRN,79006,Q9UJH8
DBNDD1,79007,Q9H9R9
CAMKV,79012,Q8NCB2
AHNAK,79026,Q09666
ZNF655,79027,Q8N720
PVRIG,79037,Q6DKI7
TMEM38A,79041,Q9H6F2
KCTD15,79047,Q96SI1
TRPM8,79054,Q7Z2W7
PRRG4,79056,Q9BZD6
POGLUT2,79070,Q6UW63
MLPH,79083,Q9BV36
TRAPPC6A,79090,O75865
CHAC1,79094,Q9BUX1
C1orf116,79098,Q9BW04
DHX58,79132,Q96C10
CCDC28B,79140,Q9BUN5
PPDPF,79144,Q9H3Y8
MMP28,79148,Q9H239
FA2H,79152,Q7L5A8
GDPD3,79153,Q7L5L3
PLEKHF1,79156,Q96S99
PRR15L,79170,Q9BU68
FSD1,79187,Q9BTV5
IRX3,79191,P78415
IRX1,79192,P78414
BHLHE41,79365,Q9C0J9
HMGN5,79366,P82970
KREMEN2,79412,Q8NCW0
ZBED2,79413,Q9BTP6
BIRC7,79444,Q96CA5
NKAIN1,79570,Q4KMZ8
EPS8L3,79574,Q8TE67
SPAG16,79582,Q8N0X2
CHPF,79586,Q8IZ52
RNF128,79589,Q8TEB7
CERS4,79603,Q9HA82
PGBD5,79605,Q8N414
RIC3,79608,Q7Z5B4
ACSS3,79611,Q9H6R3
CCNJL,79616,Q8IV13
GALNT14,79623,Q96FL9
TNFAIP8L2,79626,Q6P589
OGFRL1,79627,Q5TC84
SH3TC2,79628,Q8TF17
C1orf54,79630,Q8WWF1
FAM184A,79632,Q8NB25
FAT4,79633,Q6V0I7
ARSJ,79642,Q5FYB0
MAP7D3,79649,Q8IWC1
RHBDF2,79651,Q6PJF5
BEND5,79656,Q7L4P6
DYNC2H1,79659,Q8NCM8
PARP8,79668,Q8N3A8
C3orf52,79669,Q5BVD1
VEPH1,79674,Q14D04
VTCN1,79679,Q7Z7D3
STEAP4,79689,Q687X5
GAL3ST4,79690,Q96RP7
GALNT12,79695,Q8IXK2
LRRK1,79705,Q38SD2
MORC4,79710,Q8TE76
NSUN7,79730,Q8NE18
KCTD17,79734,Q8N5Z5
TTLL7,79739,Q6ZT98
CLIP4,79745,Q8N3C7
ECHDC3,79746,Q96DC8
ZNF385D,79750,Q9H6B1
C1orf115,79762,Q9H7X2
ELMO3,79767,Q96BJ8
MCTP1,79772,Q6DN14
GRTP1,79774,Q5TC63
ZFHX4,79776,Q86UP3
MICALL2,79778,Q8IY33
SUGCT,79783,Q9HAC7
MYH14,79784,Q7Z406
CLMN,79789,Q96JQ2
GSDMD,79792,P57764
HHIPL2,79802,Q6UWX4
VASH2,79805,Q86V25
AGMAT,79814,Q9BSE5
NIPAL2,79815,Q9H841
MOB3B,79817,Q86TA1
CLMP,79827,Q9H6B4
TMC5,79838,Q6UXY8
ZDHHC11,79844,Q9H8X9
BAALC,79870,Q8WXS3
THSD4,79875,Q6ZMP0
MAP9,79884,Q49MG5
HDAC11,79885,Q96DB2
PLBD1,79887,Q6P4A8
LPCAT1,79888,Q8NF37
RIN3,79890,Q8TB24
ATP8B4,79895,Q8TF62
PRR5L,79899,Q6MZQ0
CYBRD1,79901,Q53TN4
MAB21L4,79919,Q08AI8
TCEAL4,79921,Q96EI5
ADM2,79924,Q7Z4H4
SPEF2,79925,Q9C093
DOK3,79930,Q7L591
CNTNAP3,79937,Q9BZ76
PLPPR3,79948,Q6T4P5
PLEKHS1,79949,Q5SXH7
ERMP1,79956,Q7Z2K6
PAQR6,79957,Q6TCH4
DENND1C,79958,Q8IV53
DENND2D,79961,Q9H6A0
DNAJC22,79962,Q8N4W6
SCD5,79966,Q86SK9
WLS,79971,Q5T9L3
CPED1,79974,A4D0V7
GRHL2,79977,Q6ISB3
POF1B,79983,Q8WVV4
ELOVL7,79993,A1L3X0
GREB1L,80000,Q9C091
PCNX2,80003,A6NKB5
ESRP2,80004,Q9H6T0
DOCK5,80005,Q9H7D0
TMEM156,80008,Q8N614
WWC2,80014,Q6AWC2
DGLUCY,80017,Q7Z3D6
UBTD1,80019,Q9HAC8
MYO15B,80022,Q96JP2
NRSN2,80023,Q9GZP1
SEMA6D,80031,Q8NFY4
GPR157,80045,Q5UAW9
PGAP1,80055,Q75T13
ATF7IP2,80063,Q5U623
ZNF606,80095,Q8WXB4
BICC1,80114,Q9H694
BAIAP2L2,80115,Q6UXY1
ARL14,80117,Q8N4G2
CCDC33,80125,Q8N5R6
LRRC8E,80131,Q6NSJ5
ZNF703,80139,Q9H7S9
FRAS1,80144,Q86XX4
ZC3H12A,80149,Q5D1E8
ASRGL1,80150,Q7L266
PGGHG,80162,Q32M88
PRR36,80164,Q9H6K5
SPSB1,80176,Q96BD6
RUBCNL,80183,Q9H714
FUZ,80199,Q9BT04
HKDC1,80201,Q2TB90
FHOD3,80206,Q2V2M9
ARMC9,80210,Q7Z3E5
ACSF2,80221,Q96CM8
RAB11FIP1,80223,Q6WKZ4
ORAI2,80228,Q96SN7
TASL,80231,Q9HAI6
ELL3,80237,Q9HB65
HSD3B7,80270,Q9H2F3
EFHD1,80303,Q9BUP0
PDGFD,80310,Q9GZP0
SP6,80320,Q3SY56
CCDC68,80323,Q9H2F9
WNT10A,80326,Q9GZT5
ULBP2,80328,Q9BZM5
PNPLA3,80339,Q9NST1
TRAF3IP3,80342,Q9Y228
PDCD1LG2,80380,Q9BQ51
CD276,80381,Q5ZPR3
AKNA,80709,Q7Z591
SLC35G2,80723,Q8TBE7
SRCIN1,80725,Q9C0H9
TTYH3,80727,Q9C0H2
SLC44A4,80736,Q53GD3
KHDC1,80759,Q4VXA5
ITIH5,80760,Q86UX2
SPX,80763,Q9BT56
LIMD2,80774,Q9BT23
COL18A1,80781,P39060
EEPD1,80820,Q7L9B9
DUSP16,80824,Q9BY84
APOL6,80830,Q9BWW8
APOL3,80833,O95236
WNT5B,81029,Q9H1J7
SLC2A10,81031,O95528
COLEC12,81035,Q5KU26
SLC38A1,81539,Q9H2H9
GDPD5,81544,Q8WTR4
VOPP1,81552,Q96AW1
CYRIA,81553,Q9H0Q0
MAGED4B,81557,Q96JG8
FAM117A,81558,Q9C073
C1orf21,81563,Q9H246
ACTL8,81569,Q9H568
APOLD1,81575,Q96LR9
LBH,81606,Q53QV2
NECTIN4,81607,Q96NY8
TMEM163,81615,Q8TC26
